Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,datetime,hour,day,weekday,month,is_weekend
2024-05-05,21:22:39,"""CNR3908312""",Completed,"""CID8787746""",Bike,Okhla,Netaji Subhash Place,8.1,37.3,633.0,17.34,4.5,4.9,Credit Card,2024-05-05 21:22:39,21,5,6,5,1
2024-11-08,17:01:10,"""CNR9416323""",Completed,"""CID1025742""",Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,717.0,9.38,4.2,4.5,UPI,2024-11-08 17:01:10,17,8,4,11,0
2024-12-26,21:21:55,"""CNR2912296""",Completed,"""CID8094609""",Go Sedan,Rajiv Nagar,Ramesh Nagar,6.0,26.7,151.0,11.9,4.9,4.5,UPI,2024-12-26 21:21:55,21,26,3,12,0
2024-09-05,07:44:18,"""CNR4611314""",Completed,"""CID6968311""",Premier Sedan,Sohna Road,New Delhi Railway Station,5.0,34.7,512.0,35.66,3.7,4.9,UPI,2024-09-05 07:44:18,7,5,3,9,0
2024-02-10,09:17:39,"""CNR4487090""",Completed,"""CID1210782""",Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,1390.0,21.79,5.0,4.9,UPI,2024-02-10 09:17:39,9,10,5,2,1
2024-07-01,17:39:56,"""CNR1487489""",Completed,"""CID3403699""",Bike,Moolchand,Karol Bagh,3.9,23.0,224.0,7.86,4.1,4.2,Cash,2024-07-01 17:39:56,17,1,0,7,0
2024-10-19,16:24:50,"""CNR6351034""",Completed,"""CID2038230""",Auto,Uttam Nagar,Vaishali,8.4,31.3,708.0,18.04,4.6,4.8,UPI,2024-10-19 16:24:50,16,19,5,10,1
2024-02-09,10:51:01,"""CNR7600870""",Completed,"""CID7289498""",Auto,INA Market,IFFCO Chowk,7.7,43.7,153.0,15.18,4.2,3.6,Uber Wallet,2024-02-09 10:51:01,10,9,4,2,0
2024-12-11,17:05:36,"""CNR8509610""",Completed,"""CID8227993""",Bike,IIT Delhi,Mansarovar Park,5.0,35.0,72.0,13.38,4.7,4.2,Cash,2024-12-11 17:05:36,17,11,2,12,0
2024-07-10,02:23:12,"""CNR3126177""",Completed,"""CID1851430""",Premier Sedan,Munirka,Saidulajab,10.9,43.6,696.0,30.9,4.7,3.7,UPI,2024-07-10 02:23:12,2,10,2,7,0
2024-09-30,12:34:51,"""CNR7449144""",Completed,"""CID8609350""",Auto,IGNOU Road,Tis Hazari,8.6,32.7,2169.0,44.25,4.4,4.3,Uber Wallet,2024-09-30 12:34:51,12,30,0,9,0
2024-09-20,13:09:16,"""CNR1970319""",Completed,"""CID6085619""",eBike,Meerut,Udyog Bhawan,9.5,24.6,136.0,45.46,3.2,3.8,Uber Wallet,2024-09-20 13:09:16,13,20,4,9,0
2024-04-30,20:25:28,"""CNR4415815""",Completed,"""CID8351180""",Go Mini,Punjabi Bagh,Saket A Block,4.6,38.9,214.0,2.91,4.1,4.7,UPI,2024-04-30 20:25:28,20,30,1,4,0
2024-06-04,20:38:07,"""CNR3899082""",Completed,"""CID5467225""",Go Mini,Akshardham,Mayur Vihar,10.3,16.4,835.0,37.57,4.2,4.8,UPI,2024-06-04 20:38:07,20,4,1,6,0
2024-08-11,18:21:32,"""CNR3263958""",Completed,"""CID3231090""",Go Sedan,IMT Manesar,Ashram,2.6,36.2,705.0,40.18,3.9,4.8,UPI,2024-08-11 18:21:32,18,11,6,8,1
2024-10-08,08:52:57,"""CNR9652983""",Completed,"""CID4773175""",Go Sedan,Azadpur,Khan Market,2.1,35.5,480.0,20.22,4.3,4.8,Debit Card,2024-10-08 08:52:57,8,8,1,10,0
2024-06-24,18:04:39,"""CNR3274827""",Completed,"""CID3134967""",Go Mini,Cyber Hub,Old Gurgaon,7.5,41.7,707.0,44.76,4.8,4.4,UPI,2024-06-24 18:04:39,18,24,0,6,0
2024-09-27,20:16:53,"""CNR8036415""",Completed,"""CID9244184""",eBike,Sikanderpur,Greater Noida,10.0,38.0,865.0,43.34,3.2,3.8,Cash,2024-09-27 20:16:53,20,27,4,9,0
2024-04-26,15:45:51,"""CNR8433849""",Completed,"""CID7659765""",Bike,Mayur Vihar,IGNOU Road,10.8,40.0,768.0,5.97,4.3,4.8,Cash,2024-04-26 15:45:51,15,26,4,4,0
2024-05-19,18:47:16,"""CNR2948784""",Completed,"""CID7747807""",Bike,Rohini West,Yamuna Bank,7.0,37.0,626.0,27.96,3.9,4.3,Uber Wallet,2024-05-19 18:47:16,18,19,6,5,1
2024-06-05,11:16:12,"""CNR1996806""",Completed,"""CID2293483""",Go Mini,Mandi House,Bahadurgarh,9.2,40.4,443.0,21.19,4.2,5.0,UPI,2024-06-05 11:16:12,11,5,2,6,0
2024-04-19,14:14:27,"""CNR5222120""",Completed,"""CID2370613""",Go Sedan,Aya Nagar,Chandni Chowk,9.9,28.7,226.0,47.63,3.6,4.1,UPI,2024-04-19 14:14:27,14,19,4,4,0
2024-03-31,16:34:57,"""CNR6596872""",Completed,"""CID2589193""",Auto,Shastri Nagar,Saket A Block,12.8,30.6,449.0,24.4,3.3,4.1,UPI,2024-03-31 16:34:57,16,31,6,3,1
2024-03-26,19:13:05,"""CNR7149058""",Completed,"""CID7341591""",Go Mini,Vinobapuri,Shastri Park,5.9,21.1,778.0,7.49,4.3,4.9,UPI,2024-03-26 19:13:05,19,26,1,3,0
2024-06-10,15:24:51,"""CNR5726463""",Completed,"""CID3407189""",Bike,Rohini West,Yamuna Bank,14.7,18.8,361.0,24.44,4.3,4.8,UPI,2024-06-10 15:24:51,15,10,0,6,0
2024-08-16,17:05:19,"""CNR3975551""",Completed,"""CID2944423""",Auto,Kashmere Gate ISBT,New Colony,3.5,30.4,235.0,9.2,4.3,3.9,UPI,2024-08-16 17:05:19,17,16,4,8,0
2024-02-04,15:32:16,"""CNR8637930""",Completed,"""CID8137475""",Go Sedan,Rohini,Botanical Garden,8.6,15.9,186.0,28.09,4.2,4.4,Cash,2024-02-04 15:32:16,15,4,6,2,1
2024-05-26,22:36:05,"""CNR7036055""",Completed,"""CID7359512""",Bike,Faridabad Sector 15,Vinobapuri,7.7,25.0,86.0,40.1,3.6,4.4,Cash,2024-05-26 22:36:05,22,26,6,5,1
2024-12-26,16:16:56,"""CNR8504461""",Completed,"""CID3984123""",Premier Sedan,Malviya Nagar,Chanakyapuri,8.3,43.7,234.0,42.5,3.7,4.9,Cash,2024-12-26 16:16:56,16,26,3,12,0
2024-11-30,18:36:50,"""CNR8819329""",Completed,"""CID6695773""",Go Sedan,Vaishali,Tilak Nagar,6.0,44.4,758.0,41.42,4.9,3.6,Cash,2024-11-30 18:36:50,18,30,5,11,1
2024-04-16,19:41:40,"""CNR2472864""",Completed,"""CID7156852""",Auto,Maidan Garhi,Panchsheel Park,12.5,26.3,273.0,31.69,4.4,4.8,UPI,2024-04-16 19:41:40,19,16,1,4,0
2024-09-12,05:52:14,"""CNR3239651""",Completed,"""CID9573465""",Auto,Yamuna Bank,Nirman Vihar,11.1,19.6,117.0,33.74,4.5,3.7,Debit Card,2024-09-12 05:52:14,5,12,3,9,0
2024-06-07,18:08:10,"""CNR2646387""",Completed,"""CID8652330""",Go Sedan,Khan Market,Central Secretariat,13.3,15.8,955.0,36.82,3.7,3.7,UPI,2024-06-07 18:08:10,18,7,4,6,0
2024-06-01,15:55:36,"""CNR4724814""",Completed,"""CID1251463""",Go Sedan,Pragati Maidan,Jama Masjid,9.7,31.5,139.0,38.75,4.4,4.3,UPI,2024-06-01 15:55:36,15,1,5,6,1
2024-05-05,14:17:24,"""CNR2200152""",Completed,"""CID6635464""",Go Mini,Mansarovar Park,Rohini,13.3,30.7,255.0,17.07,4.3,4.4,Cash,2024-05-05 14:17:24,14,5,6,5,1
2024-01-15,17:05:26,"""CNR5060137""",Completed,"""CID2961093""",Auto,Rithala,Aya Nagar,9.5,18.0,1212.0,19.18,4.3,4.3,UPI,2024-01-15 17:05:26,17,15,0,1,0
2024-07-08,17:50:10,"""CNR9291876""",Completed,"""CID9026677""",Go Sedan,Shastri Park,Indraprastha,10.0,23.6,81.0,23.93,4.7,3.9,Debit Card,2024-07-08 17:50:10,17,8,0,7,0
2024-08-14,17:41:00,"""CNR4212658""",Completed,"""CID5774800""",Auto,Cyber Hub,Udyog Bhawan,3.6,24.2,940.0,29.09,4.2,4.6,UPI,2024-08-14 17:41:00,17,14,2,8,0
2024-05-08,16:37:21,"""CNR4415643""",Completed,"""CID4718297""",eBike,Saidulajab,Hauz Khas,10.0,17.9,98.0,27.55,4.2,4.1,Cash,2024-05-08 16:37:21,16,8,2,5,0
2024-07-29,12:28:32,"""CNR4092218""",Completed,"""CID5726360""",Premier Sedan,Tughlakabad,Meerut,5.9,15.5,724.0,14.0,4.1,4.2,Cash,2024-07-29 12:28:32,12,29,0,7,0
2024-08-09,16:41:35,"""CNR8034979""",Completed,"""CID1915443""",eBike,Kashmere Gate,Karkarduma,8.0,25.3,749.0,47.3,4.4,4.3,UPI,2024-08-09 16:41:35,16,9,4,8,0
2024-10-02,09:10:13,"""CNR1435581""",Completed,"""CID1856576""",Auto,Shastri Park,Barakhamba Road,11.5,37.4,244.0,14.59,4.1,4.8,UPI,2024-10-02 09:10:13,9,2,2,10,0
2024-05-26,20:45:58,"""CNR6987620""",Completed,"""CID3121337""",Auto,Tilak Nagar,Azadpur,5.4,28.9,585.0,34.14,4.6,4.1,Debit Card,2024-05-26 20:45:58,20,26,6,5,1
2024-12-24,10:30:20,"""CNR4132145""",Completed,"""CID5140786""",Auto,DLF Phase 3,Udyog Vihar Phase 4,6.4,44.7,554.0,31.79,4.3,4.6,Cash,2024-12-24 10:30:20,10,24,1,12,0
2024-06-07,17:11:59,"""CNR8207805""",Completed,"""CID6685791""",Bike,Laxmi Nagar,Sohna Road,10.8,28.5,803.0,25.01,4.1,4.5,Credit Card,2024-06-07 17:11:59,17,7,4,6,0
2024-04-28,19:59:01,"""CNR1438443""",Completed,"""CID5468663""",Go Mini,Huda City Centre,Akshardham,9.4,24.8,388.0,17.56,4.2,4.7,UPI,2024-04-28 19:59:01,19,28,6,4,1
2024-01-18,23:04:30,"""CNR1361929""",Completed,"""CID9052724""",Go Mini,Uttam Nagar,Greater Kailash,11.2,38.5,192.0,48.96,3.1,4.6,UPI,2024-01-18 23:04:30,23,18,3,1,0
2024-04-15,19:03:28,"""CNR2687237""",Completed,"""CID4887972""",Go Mini,Mehrauli,Nawada,9.0,39.1,79.0,32.91,4.4,3.8,Uber Wallet,2024-04-15 19:03:28,19,15,0,4,0
2024-01-22,18:23:40,"""CNR4269906""",Completed,"""CID9683944""",Bike,Lajpat Nagar,Okhla,2.4,26.6,242.0,45.7,4.0,4.9,UPI,2024-01-22 18:23:40,18,22,0,1,0
2024-05-21,20:31:57,"""CNR1401386""",Completed,"""CID2154950""",Go Mini,Botanical Garden,Azadpur,5.4,32.6,323.0,38.32,4.4,3.7,Uber Wallet,2024-05-21 20:31:57,20,21,1,5,0
2024-06-02,21:27:23,"""CNR7409512""",Completed,"""CID5474366""",Auto,Karol Bagh,Palam Vihar,5.4,24.4,799.0,9.1,4.2,4.6,UPI,2024-06-02 21:27:23,21,2,6,6,1
2024-11-20,16:42:58,"""CNR1980045""",Completed,"""CID9418411""",Premier Sedan,Ramesh Nagar,Greater Kailash,2.9,39.3,134.0,49.26,4.1,4.9,UPI,2024-11-20 16:42:58,16,20,2,11,0
2024-11-13,06:51:43,"""CNR9749627""",Completed,"""CID3065827""",Go Sedan,Nirman Vihar,Satguru Ram Singh Marg,13.7,40.7,113.0,8.21,4.3,5.0,UPI,2024-11-13 06:51:43,6,13,2,11,0
2024-05-16,12:35:33,"""CNR6236514""",Completed,"""CID3761463""",Auto,Tughlakabad,Ramesh Nagar,12.1,32.5,81.0,11.94,4.0,4.5,UPI,2024-05-16 12:35:33,12,16,3,5,0
2024-02-15,19:11:02,"""CNR9048385""",Completed,"""CID5242973""",Go Sedan,India Gate,Kashmere Gate,4.5,43.1,992.0,8.23,5.0,4.6,UPI,2024-02-15 19:11:02,19,15,3,2,0
2024-08-01,06:16:08,"""CNR1903168""",Completed,"""CID1051794""",Premier Sedan,Maidan Garhi,Samaypur Badli,3.6,26.5,513.0,49.5,4.3,4.9,UPI,2024-08-01 06:16:08,6,1,3,8,0
2024-05-02,19:16:35,"""CNR2922907""",Completed,"""CID4507250""",Premier Sedan,Barakhamba Road,Noida Film City,5.8,38.9,635.0,37.37,4.3,4.6,UPI,2024-05-02 19:16:35,19,2,3,5,0
2024-08-27,06:04:30,"""CNR7621341""",Completed,"""CID1429306""",Uber XL,Kashmere Gate,Jor Bagh,6.9,17.0,242.0,35.38,4.4,4.9,UPI,2024-08-27 06:04:30,6,27,1,8,0
2024-10-20,12:47:05,"""CNR5803828""",Completed,"""CID1039074""",Bike,Barakhamba Road,DLF City Court,12.5,20.6,1114.0,34.81,4.1,4.2,Uber Wallet,2024-10-20 12:47:05,12,20,6,10,1
2024-06-25,23:08:22,"""CNR4868713""",Completed,"""CID2089650""",Bike,Gurgaon Sector 56,Cyber Hub,9.0,37.7,372.0,20.92,3.8,4.6,UPI,2024-06-25 23:08:22,23,25,1,6,0
2024-07-10,16:51:38,"""CNR3841045""",Completed,"""CID1210899""",Go Mini,Ashram,Yamuna Bank,3.5,40.2,387.0,23.39,4.3,4.7,Uber Wallet,2024-07-10 16:51:38,16,10,2,7,0
2024-06-10,07:38:34,"""CNR5265040""",Completed,"""CID3076700""",Go Sedan,Gurgaon Sector 29,Mansarovar Park,7.1,31.6,767.0,30.82,4.6,4.9,UPI,2024-06-10 07:38:34,7,10,0,6,0
2024-07-11,14:42:27,"""CNR8112878""",Completed,"""CID4809063""",Auto,Shahdara,Paharganj,7.1,24.4,447.0,21.31,4.5,4.1,UPI,2024-07-11 14:42:27,14,11,3,7,0
2024-06-20,07:14:32,"""CNR4617937""",Completed,"""CID7348314""",Premier Sedan,Sultanpur,Delhi Gate,6.7,33.5,500.0,20.41,4.3,4.7,Credit Card,2024-06-20 07:14:32,7,20,3,6,0
2024-03-05,12:21:00,"""CNR7340396""",Completed,"""CID7334750""",Go Mini,Gurgaon Sector 29,Dilshad Garden,3.7,38.9,446.0,25.94,4.9,4.3,Debit Card,2024-03-05 12:21:00,12,5,1,3,0
2024-05-17,01:08:21,"""CNR7554746""",Completed,"""CID3234126""",eBike,Huda City Centre,Aya Nagar,2.6,32.9,125.0,39.16,4.1,4.9,UPI,2024-05-17 01:08:21,1,17,4,5,0
2024-05-13,21:08:35,"""CNR9430550""",Completed,"""CID3901448""",Go Sedan,Dilshad Garden,Subhash Nagar,11.4,17.2,419.0,23.79,4.3,4.7,Uber Wallet,2024-05-13 21:08:35,21,13,0,5,0
2024-06-19,22:02:03,"""CNR4112922""",Completed,"""CID8248967""",Go Sedan,Basai Dhankot,Qutub Minar,4.7,17.7,477.0,41.93,4.6,4.9,Cash,2024-06-19 22:02:03,22,19,2,6,0
2024-04-26,21:03:12,"""CNR4722464""",Completed,"""CID7557487""",Auto,Anand Vihar,IMT Manesar,11.3,33.0,352.0,6.71,4.2,4.7,UPI,2024-04-26 21:03:12,21,26,4,4,0
2024-12-04,14:09:18,"""CNR4720063""",Completed,"""CID1461597""",Go Sedan,Munirka,Sushant Lok,7.4,39.0,117.0,15.63,4.6,4.5,UPI,2024-12-04 14:09:18,14,4,2,12,0
2024-12-12,12:01:07,"""CNR5314934""",Completed,"""CID1026547""",Go Sedan,Tis Hazari,Arjangarh,9.3,28.5,51.0,29.8,4.6,3.9,UPI,2024-12-12 12:01:07,12,12,3,12,0
2024-03-02,22:28:52,"""CNR5517193""",Completed,"""CID9143442""",Uber XL,Malviya Nagar,Sohna Road,6.0,26.6,81.0,5.59,4.9,4.2,Cash,2024-03-02 22:28:52,22,2,5,3,1
2024-08-29,21:01:54,"""CNR3455701""",Completed,"""CID9643714""",Bike,Munirka,Tis Hazari,13.5,41.8,51.0,4.44,4.4,4.7,Uber Wallet,2024-08-29 21:01:54,21,29,3,8,0
2024-03-25,18:40:11,"""CNR5149854""",Completed,"""CID9975388""",Go Sedan,Akshardham,IGNOU Road,4.9,33.0,469.0,26.93,4.3,4.9,UPI,2024-03-25 18:40:11,18,25,0,3,0
2024-06-30,21:34:48,"""CNR6027511""",Completed,"""CID6080643""",Bike,Udyog Vihar Phase 4,Greater Kailash,9.9,22.0,320.0,28.78,4.2,4.5,UPI,2024-06-30 21:34:48,21,30,6,6,1
2024-07-18,02:41:57,"""CNR4569804""",Completed,"""CID8474448""",Go Mini,Raj Nagar Extension,IMT Manesar,13.3,24.6,726.0,12.98,4.2,4.3,Debit Card,2024-07-18 02:41:57,2,18,3,7,0
2024-09-15,20:23:02,"""CNR5784218""",Completed,"""CID1814194""",Go Sedan,Nawada,New Delhi Railway Station,8.8,16.8,455.0,43.06,3.8,4.3,UPI,2024-09-15 20:23:02,20,15,6,9,1
2024-05-12,10:16:09,"""CNR6349771""",Completed,"""CID5577961""",Auto,Lajpat Nagar,Shivaji Park,2.6,22.2,995.0,38.96,4.7,4.9,Debit Card,2024-05-12 10:16:09,10,12,6,5,1
2024-11-16,19:05:30,"""CNR3708287""",Completed,"""CID2958217""",Uber XL,Aya Nagar,Meerut,2.7,25.8,1179.0,18.87,4.9,4.6,Uber Wallet,2024-11-16 19:05:30,19,16,5,11,1
2024-07-19,16:57:27,"""CNR8365625""",Completed,"""CID4463605""",Bike,Lok Kalyan Marg,Maidan Garhi,11.0,33.1,525.0,47.88,4.2,4.6,Uber Wallet,2024-07-19 16:57:27,16,19,4,7,0
2024-09-15,22:06:40,"""CNR6158921""",Completed,"""CID4203688""",Go Sedan,Ramesh Nagar,Keshav Puram,5.1,27.9,300.0,5.7,4.2,4.6,UPI,2024-09-15 22:06:40,22,15,6,9,1
2024-05-30,18:57:34,"""CNR7484371""",Completed,"""CID7265108""",Go Sedan,Maidan Garhi,Sarai Kale Khan,11.1,18.4,202.0,4.62,3.2,4.1,UPI,2024-05-30 18:57:34,18,30,3,5,0
2024-12-05,07:56:34,"""CNR9301716""",Completed,"""CID4647277""",Premier Sedan,Greater Kailash,Green Park,6.3,34.1,475.0,42.26,4.3,4.2,Cash,2024-12-05 07:56:34,7,5,3,12,0
2024-07-16,19:23:06,"""CNR6511558""",Completed,"""CID5808222""",Go Sedan,Sarojini Nagar,Saidulajab,6.1,17.0,833.0,19.49,4.0,3.4,Debit Card,2024-07-16 19:23:06,19,16,1,7,0
